"ID","Title","Attachments","Created By","Created On","Estimate","Expected Result","Forecast","Priority","References","Section","Section Depth","Section Description","Status","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Shared step ID)","Steps (Step)","Suite","Suite ID","Type","Updated By","Updated On","is_converted"
"C79","Registration with Empty Password Field","","Ciler Uzal","4/30/2026 9:00 AM","","<ul data-start=""369"" data-end=""606"" data-pasted=""true""><li data-section-id=""o7eyoj"" data-start=""369"" data-end=""445"">The system should prevent registration when the Password field is empty.</li><li data-section-id=""rxc4h0"" data-start=""446"" data-end=""553"">A validation error message should be displayed under the Password field (e.g., “Password is required”).</li><li data-section-id=""z000ip"" data-start=""554"" data-end=""606"">The user should remain on the Registration page.</li></ul>","","High","","Register","0","","Design","<ul><li data-section-id=""bj5kwn"" data-start=""146"" data-end=""200"" data-pasted=""true"">Enter a valid username in the Username field.</li><li data-section-id=""1pqhtc2"" data-start=""201"" data-end=""257"">Enter a valid email address in the Email field.</li><li data-section-id=""kuj2l8"" data-start=""258"" data-end=""298"">Leave the Password field empty.</li><li data-section-id=""1k8jbiw"" data-start=""299"" data-end=""337"">Click on the Register button.</li></ul>","","","","","","","Master","S6","Functional","Ciler Uzal","4/30/2026 9:17 AM","1"
"C80","Password Minimum Length Validation","","Ciler Uzal","4/30/2026 9:01 AM","","<ul data-start=""422"" data-end=""727"" data-pasted=""true""><li data-section-id=""z9ks6e"" data-start=""422"" data-end=""493"">The system should validate the minimum password length requirement.</li><li data-section-id=""1w9e8bv"" data-start=""494"" data-end=""568"">Registration should fail if the password is shorter than 8 characters.</li><li data-section-id=""1b6zxj5"" data-start=""569"" data-end=""674"">A validation error message should be displayed (e.g., “Password must be at least 8 characters long”).</li><li data-section-id=""z000ip"" data-start=""675"" data-end=""727"">The user should remain on the Registration page.</li></ul>","","High","","Register","0","","Design","<ul><li data-section-id=""bj5kwn"" data-start=""167"" data-end=""221"" data-pasted=""true"">Enter a valid username in the Username field.</li><li data-section-id=""1pqhtc2"" data-start=""222"" data-end=""278"">Enter a valid email address in the Email field.</li><li data-section-id=""vw5su7"" data-start=""279"" data-end=""351"">Enter a password with fewer than 8 characters</li><li data-section-id=""1k8jbiw"" data-start=""352"" data-end=""390"">Click on the Register button.</li></ul>","","","","","","","Master","S6","Other","Ciler Uzal","4/30/2026 9:17 AM","1"
"C81","Password Maximum Length Validation","","Ciler Uzal","4/30/2026 9:03 AM","","<ul data-start=""403"" data-end=""695"" data-pasted=""true""><li data-section-id=""14kr2ma"" data-start=""403"" data-end=""473"">The system should validate the maximum password length constraint.</li><li data-section-id=""k879v8"" data-start=""474"" data-end=""541"">Registration should fail if the password exceeds 64 characters.</li><li data-section-id=""343c03"" data-start=""542"" data-end=""642"">A validation error message should be displayed (e.g., “Password must not exceed 64 characters”).</li><li data-section-id=""z000ip"" data-start=""643"" data-end=""695"">The user should remain on the Registration page.</li></ul>","","Medium","","Register","0","","Design","<ul><li data-section-id=""bj5kwn"" data-start=""168"" data-end=""222"" data-pasted=""true"">Enter a valid username in the Username field.</li><li data-section-id=""1pqhtc2"" data-start=""223"" data-end=""279"">Enter a valid email address in the Email field.</li><li data-section-id=""kywf0m"" data-start=""280"" data-end=""332"">Enter a password longer than 64 characters.</li><li data-section-id=""1k8jbiw"" data-start=""333"" data-end=""371"">Click on the Register button.</li></ul>","","","","","","","Master","S6","Functional","Ciler Uzal","4/30/2026 9:04 AM","1"
"C82","Invalid Password Validation","","Ciler Uzal","4/30/2026 9:06 AM","","<ul><li data-section-id=""1k681h7"" data-start=""486"" data-end=""558"" data-pasted=""true"">The system should validate the password according to security rules.</li><li data-section-id=""15ppovs"" data-start=""559"" data-end=""620"">Registration should fail due to weak or invalid password.</li><li data-section-id=""1is4s7d"" data-start=""621"" data-end=""733"">A clear validation error message should be displayed </li><li data-section-id=""z000ip"" data-start=""734"" data-end=""786"">The user should remain on the Registration page.</li></ul>","","Medium","","Register","0","","Design","<ol data-start=""135"" data-end=""454"" data-pasted=""true""><li data-section-id=""bj5kwn"" data-start=""135"" data-end=""189"">Enter a valid username in the Username field.</li><li data-section-id=""1pqhtc2"" data-start=""190"" data-end=""246"">Enter a valid email address in the Email field.</li><li data-section-id=""1f0plip"" data-start=""247"" data-end=""415"">Enter an invalid password (e.g. contains spaces)</li><li data-section-id=""1k8jbiw"" data-start=""416"" data-end=""454"">Click on the Register button.</li></ol>","","","","","","","Master","S6","Functional","Ciler Uzal","4/30/2026 9:08 AM","1"
"C51","Log in Content","","Ciler Uzal","4/28/2026 10:18 AM","","<ul><li data-section-id=""1ugstsv"" data-start=""284"" data-end=""323"" data-pasted=""true"">The login form should be displayed.</li><li data-section-id=""6qvvl3"" data-start=""324"" data-end=""372"">The Email input field should be visible.</li><li data-section-id=""hu54yc"" data-start=""373"" data-end=""424"">The Password input field should be visible.</li><li data-section-id=""1yzk8ui"" data-start=""425"" data-end=""469"">The Log in button should be visible.</li></ul>","","Medium","","Log In - Log out","0","","Design","<p>Click on the Log in botton</p>","","","","","","","Master","S6","Functional","Ciler Uzal","4/30/2026 8:02 AM","1"
"C83","Successfull User Log in with Valid Data","","Ciler Uzal","4/30/2026 9:20 AM","","<ul><li data-section-id=""1ft3npo"" data-start=""349"" data-end=""395"" data-pasted=""true"">The user should be successfully logged in.</li></ul>","","High","","Log In - Log out","0","","Design","<ul><li data-section-id=""1w3g4ip"" data-start=""165"" data-end=""221"" data-pasted=""true"">Enter a valid email address in the Email field.</li><li data-section-id=""11h27ok"" data-start=""222"" data-end=""280"">Enter the correct password in the Password field.</li><li data-section-id=""u0a5at"" data-start=""281"" data-end=""317"">Click on the Log in button.</li></ul>","","","","","","","Master","S6","Functional","Ciler Uzal","4/30/2026 9:21 AM","1"
"C84","Login with Unregistered Email","","Ciler Uzal","4/30/2026 9:22 AM","","<ul><li data-section-id=""1hqmere"" data-start=""329"" data-end=""363"" data-pasted=""true"">The login attempt should fail.</li><li data-section-id=""hfi95v"" data-start=""364"" data-end=""412"">The system should not authenticate the user.</li><li data-section-id=""i0a401"" data-start=""413"" data-end=""516"">An appropriate error message should be displayed (e.g., “User not found” or “Invalid credentials”).</li><li data-section-id=""87dh3n"" data-start=""517"" data-end=""562"">The user should remain on the Login page.</li></ul>","","High","","Log In - Log out","0","","Design","<ol data-start=""130"" data-end=""297"" data-pasted=""true""><li data-section-id=""a2n8ui"" data-start=""130"" data-end=""194"">Enter an unregistered email address in the Email field.</li><li data-section-id=""936vv9"" data-start=""195"" data-end=""260"">Enter a valid password in the Password field </li><li data-section-id=""u0a5at"" data-start=""261"" data-end=""297"">Click on the Log in button.</li></ol>","","","","","","","Master","S6","Functional","Ciler Uzal","4/30/2026 9:25 AM","1"
"C85","Login with Incorrect Password for Registered Email","","Ciler Uzal","4/30/2026 9:26 AM","","<ul><li data-section-id=""1hqmere"" data-start=""380"" data-end=""414"" data-pasted=""true"">The login attempt should fail.</li><li data-section-id=""hfi95v"" data-start=""415"" data-end=""463"">The system should not authenticate the user.</li><li data-section-id=""z80jjr"" data-start=""464"" data-end=""542"">A generic error message should be displayed (e.g., “Invalid credentials”).</li></ul>","","High","","Log In - Log out","0","","Design","<ul><li data-section-id=""n6ro3j"" data-start=""190"" data-end=""251"" data-pasted=""true"">Enter a registered email address in the Email field.</li><li data-section-id=""1ktaa8l"" data-start=""252"" data-end=""311"">Enter an incorrect password in the Password field.</li><li data-section-id=""u0a5at"" data-start=""312"" data-end=""348"">Click on the Log in button.</li></ul>","","","","","","","Master","S6","Functional","Ciler Uzal","4/30/2026 9:27 AM","1"
"C86","Login with Empty Fields","","Ciler Uzal","4/30/2026 9:28 AM","","<ul data-start=""271"" data-end=""625"" data-pasted=""true""><li data-section-id=""1pqg06o"" data-start=""271"" data-end=""313"">The login attempt should be prevented.</li><li data-section-id=""wx2jqp"" data-start=""314"" data-end=""375"">The system should not allow submission with empty fields.</li><li data-section-id=""u8igo"" data-start=""376"" data-end=""515"">Validation error messages should be displayed under both Email and Password fields (e.g., “Email is required”, “Password is required”).</li><li data-section-id=""87dh3n"" data-start=""516"" data-end=""561"">The user should remain on the Login page.</li><li data-section-id=""ho67qz"" data-start=""562"" data-end=""625"">No authentication request should be successfully processed.</li></ul>","","High","","Log In - Log out","0","","Design","<ul><li data-section-id=""1hyn0lp"" data-start=""124"" data-end=""161"" data-pasted=""true"">Leave the Email field empty.</li><li data-section-id=""1ymwtj1"" data-start=""162"" data-end=""202"">Leave the Password field empty.</li><li data-section-id=""u0a5at"" data-start=""203"" data-end=""239"">Click on the Log in button.</li></ul>","","","","","","","Master","S6","Functional","Ciler Uzal","4/30/2026 9:29 AM","1"
"C91","Log Out Successfully","","Ciler Uzal","4/30/2026 12:33 PM","","<ul data-start=""1507"" data-end=""1646"" data-pasted=""true""><li data-section-id=""gumvec"" data-start=""1507"" data-end=""1544"">User session should be terminated</li><li data-section-id=""y8l8nb"" data-start=""1545"" data-end=""1588"">User should be redirected to login page</li></ul><h3 data-section-id=""1dyon8j"" data-start=""1648"" data-end=""1671""><br></h3>","","High","","Log In - Log out","0","","Design","<p>Click Log Out button</p>","","","","","","","Master","S6","Functional","Ciler Uzal","4/30/2026 12:40 PM","1"
"C47","Responsive Design","","Ciler Uzal","4/27/2026 7:59 PM","","<ol><li data-section-id=""56ru80"" data-start=""554"" data-end=""648"" data-pasted=""true"">The page should load successfully without any errors and the homepage should be displayed.</li><li data-section-id=""pkhgz5"" data-start=""649"" data-end=""747"">The application name, logo, and tagline should be visible and aligned according to the design.</li><li data-section-id=""ane0vi"" data-start=""748"" data-end=""847"">The Registration button should be clickable and redirect the user to the registration form.</li><li data-section-id=""t7q5da"" data-start=""848"" data-end=""934"">The Log in button should be clickable and redirect the user to the login form.</li></ol>","","High","","UX / UI and Responsive","0","","Design","<ol><li data-section-id=""nfjn3y"" data-start=""245"" data-end=""297"" data-pasted=""true"">Open the application homepage URL in a browser.</li><li data-section-id=""yx1609"" data-start=""298"" data-end=""381"">Verify the presence of the application name, logo, and a motivational tagline.</li><li data-section-id=""s4g0cv"" data-start=""382"" data-end=""454"">Verify the presence of the Registration button and click on it.</li><li data-section-id=""lo0isa"" data-start=""455"" data-end=""521"">Verify the presence of the Log in button and click on it.</li></ol>","","","","","","","Master","S6","Functional","Ciler Uzal","4/30/2026 8:41 PM","1"
"C46","Homepage Responsiveness Validation","","Ciler Uzal","4/27/2026 7:51 PM","","","","Medium","","UX / UI and Responsive","0","","Design","","Step Description:
<ul><li data-section-id=""""17dlbt6"""" data-start=""""333"""" data-end=""""389"""" data-pasted=""""true"""">Set viewport width to ≤ 320px and verify layout</li><li data-section-id=""""1p6eodd"""" data-start=""""390"""" data-end=""""464"""">Gradually increase to 320px – 374px and observe flexible behavior</li><li data-section-id=""""11rc1e5"""" data-start=""""465"""" data-end=""""525"""">Set viewport to 375px – 767px (mobile design range)</li><li data-section-id=""""1j9f0qb"""" data-start=""""526"""" data-end=""""587"""">Set viewport to 768px – 1279px (tablet design range)</li><li data-section-id=""""1n0kn0r"""" data-start=""""588"""" data-end=""""644"""">Set viewport to ≥ 1280px (desktop design range)</li><li data-section-id=""""efi635"""" data-start=""""645"""" data-end=""""711"""">Observe layout consistency while resizing between breakpoints</li></ul>
Expected Result:
<ul data-pasted=""""true""""><li data-section-id=""""1uaclm7"""" data-start=""""743"""" data-end=""""812"""" data-pasted=""""true"""">At all breakpoints, layout should adapt according to design rules</li><li data-section-id=""""19dxr9l"""" data-start=""""813"""" data-end=""""872"""">No horizontal scrolling should appear at any resolution</li><li data-section-id=""""lnve3n"""" data-start=""""873"""" data-end=""""929"""">UI elements should remain within viewport boundaries</li><li data-section-id=""""15i1ib0"""" data-start=""""930"""" data-end=""""980"""">Text should wrap correctly and remain readable</li><li data-section-id=""""wwwc2r"""" data-start=""""981"""" data-end=""""1030"""">Components should not overlap or break layout</li><li data-section-id=""""fpqpvz"""" data-start=""""1031"""" data-end=""""1092"""">Header/sidebar behavior should remain stable across sizes</li><li data-section-id=""""7h92hl"""" data-start=""""1093"""" data-end=""""1160"""">Transitions between breakpoints should be smooth and consistent</li></ul>","1","1. <ul data-pasted=""""true""""><li data-section-id=""""1uaclm7"""" data-start=""""743"""" data-end=""""812"""" data-pasted=""""true"""">At all breakpoints, layout should adapt according to design rules</li><li data-section-id=""""19dxr9l"""" data-start=""""813"""" data-end=""""872"""">No horizontal scrolling should appear at any resolution</li><li data-section-id=""""lnve3n"""" data-start=""""873"""" data-end=""""929"""">UI elements should remain within viewport boundaries</li><li data-section-id=""""15i1ib0"""" data-start=""""930"""" data-end=""""980"""">Text should wrap correctly and remain readable</li><li data-section-id=""""wwwc2r"""" data-start=""""981"""" data-end=""""1030"""">Components should not overlap or break layout</li><li data-section-id=""""fpqpvz"""" data-start=""""1031"""" data-end=""""1092"""">Header/sidebar behavior should remain stable across sizes</li><li data-section-id=""""7h92hl"""" data-start=""""1093"""" data-end=""""1160"""">Transitions between breakpoints should be smooth and consistent</li></ul>","1","1","1. <ul><li data-section-id=""""17dlbt6"""" data-start=""""333"""" data-end=""""389"""" data-pasted=""""true"""">Set viewport width to ≤ 320px and verify layout</li><li data-section-id=""""1p6eodd"""" data-start=""""390"""" data-end=""""464"""">Gradually increase to 320px – 374px and observe flexible behavior</li><li data-section-id=""""11rc1e5"""" data-start=""""465"""" data-end=""""525"""">Set viewport to 375px – 767px (mobile design range)</li><li data-section-id=""""1j9f0qb"""" data-start=""""526"""" data-end=""""587"""">Set viewport to 768px – 1279px (tablet design range)</li><li data-section-id=""""1n0kn0r"""" data-start=""""588"""" data-end=""""644"""">Set viewport to ≥ 1280px (desktop design range)</li><li data-section-id=""""efi635"""" data-start=""""645"""" data-end=""""711"""">Observe layout consistency while resizing between breakpoints</li></ul>","Master","S6","Usability","Ciler Uzal","4/30/2026 8:44 PM","1"
"C87","Eye Icon Functionality on Registration Page","","Ciler Uzal","4/30/2026 9:36 AM","","<ul><li data-section-id=""xndf6u"" data-start=""412"" data-end=""467"" data-pasted=""true"">By default, the password should be masked (••••••).</li><li data-section-id=""6lemw2"" data-start=""468"" data-end=""551"">When the eye icon is clicked, the password should become visible in text.</li><li data-section-id=""1586cjx"" data-start=""552"" data-end=""619"">When clicked again, the password should return to masked state.</li></ul>","","Medium","","UX / UI and Responsive","0","","Design","<ul><li data-section-id=""10vytjr"" data-start=""229"" data-end=""283"" data-pasted=""true"">Enter a valid password in the Password field.</li><li data-section-id=""24xzl7"" data-start=""284"" data-end=""342"">Click on the eye icon next to the Password field.</li><li data-section-id=""kd7m7m"" data-start=""343"" data-end=""380"">Click on the eye icon again.</li></ul>","","","","","","","Master","S6","Functional","Ciler Uzal","4/30/2026 1:24 PM","1"
"C88","Eye Icon Functionality on Login Page","","Ciler Uzal","4/30/2026 9:39 AM","","<ul><li data-section-id=""xndf6u"" data-start=""398"" data-end=""453"" data-pasted=""true"">By default, the password should be masked (••••••).</li><li data-section-id=""6lemw2"" data-start=""454"" data-end=""537"">When the eye icon is clicked, the password should become visible in text.</li><li data-section-id=""1ir6kb0"" data-start=""538"" data-end=""598"">When clicked again, the password should be masked again.</li></ul>","","Medium","","UX / UI and Responsive","0","","Design","<ol data-start=""215"" data-end=""366"" data-pasted=""true""><li data-section-id=""10vytjr"" data-start=""215"" data-end=""269"">Enter a valid password in the Password field.</li><li data-section-id=""24xzl7"" data-start=""270"" data-end=""328"">Click on the eye icon next to the Password field.</li><li data-section-id=""kd7m7m"" data-start=""329"" data-end=""366"">Click on the eye icon again.</li></ol>","","","","","","","Master","S6","Functional","Ciler Uzal","4/30/2026 1:23 PM","1"
"C58","Theme Switching","","Ciler Uzal","4/28/2026 10:45 AM","","<ul><li data-section-id=""16pje4"" data-start=""490"" data-end=""559"" data-pasted=""true"">The selected theme should be applied immediately after selection.</li><li data-section-id=""31xqmu"" data-start=""560"" data-end=""619"">The theme choice should be saved to the user’s account.</li><li data-section-id=""bcgfv5"" data-start=""620"" data-end=""703"">When the user logs back in, the previously selected theme should remain active.</li><li data-section-id=""up07iw"" data-start=""704"" data-end=""773"">No UI inconsistencies or layout issues should occur in any theme.</li></ul>","","Low","","UX / UI and Responsive","0","","Design","<ul><li data-section-id=""13qaqi4"" data-start=""275"" data-end=""323"" data-pasted=""true"">Navigate to the Theme settings section.</li><li data-section-id=""a68poy"" data-start=""324"" data-end=""387"">Select a theme (e.g., Light, Violet, or Dark).</li><li data-section-id=""iqjoqx"" data-start=""388"" data-end=""422"">Log out from the application.</li><li data-section-id=""1si9g69"" data-start=""423"" data-end=""458"">Log back into the application.</li></ul>","","","","","","","Master","S6","Functional","Ciler Uzal","4/30/2026 9:59 AM","1"
"C59","User Info Dropdown & Edit Profile Modal","","Ciler Uzal","4/28/2026 11:06 AM","","<ul><li data-section-id=""188yc46"" data-start=""470"" data-end=""539"" data-pasted=""true"">Clicking the avatar should open the user info dropdown panel.</li><li data-section-id=""1l0mdxj"" data-start=""632"" data-end=""701"">The panel should open the Edit Profile Modal.</li></ul>","","High","","UX / UI and Responsive","0","","Design","<ul><li data-section-id=""1cc3u5e"" data-start=""228"" data-end=""281"" data-pasted=""true"">Click on the user avatar (top-right corner).</li><li data-section-id=""1ekvnw4"" data-start=""282"" data-end=""345"">Verify that a dropdown / user info panel is displayed.</li><li data-section-id=""1cdfic2"" data-start=""346"" data-end=""406"">Click on “Edit Profile” option inside the dropdown.</li></ul>","","","","","","","Master","S6","Functional","Ciler Uzal","4/30/2026 10:08 AM","1"
